Record ID,year,month,MoleculeName,TradeName,ProductName,Packs,Value,Date
25,2017,12,molecule5,brand10,SKU25,18928.0,490120.95323389856,2017-12-01
24,2017,12,molecule5,brand10,SKU24,18099.0,283422.1303056323,2017-12-01
23,2017,12,molecule5,brand9,SKU23,2121.0,4576.489548956738,2017-12-01
22,2017,12,molecule5,brand9,SKU22,1455.0,2965.2013626805206,2017-12-01
21,2017,12,molecule5,brand9,SKU21,807.0,1741.2731874109033,2017-12-01
20,2017,12,molecule5,brand8,SKU20,21002.0,105678.66921745364,2017-12-01
19,2017,12,molecule5,brand8,SKU19,3409.0,27704.228525401766,2017-12-01
18,2017,12,molecule5,brand7,SKU18,37014.0,155669.9222868122,2017-12-01
17,2017,12,molecule5,brand7,SKU17,310952.0,699367.4994642809,2017-12-01
30,2017,12,molecule5,brand12,SKU30,7854.0,54862.909557595856,2017-12-01
16,2017,12,molecule5,brand7,SKU16,16361.0,65747.97308838376,2017-12-01
14,2017,12,molecule5,brand7,SKU14,88772.0,259376.60016674933,2017-12-01
13,2017,12,molecule5,brand6,SKU13,22770.0,105135.86423142163,2017-12-01
12,2017,12,molecule5,brand6,SKU12,70749.0,199388.06551201714,2017-12-01
11,2017,12,molecule5,brand6,SKU11,17549.0,90771.25981229484,2017-12-01
10,2017,12,molecule5,brand6,SKU10,37385.0,98410.58714641117,2017-12-01
9,2017,12,molecule5,brand6,SKU9,6578.0,39206.34345587698,2017-12-01
8,2017,12,molecule5,brand6,SKU8,14194.0,52450.64117039523,2017-12-01
7,2017,12,molecule4,brand5,SKU7,4034.0,68044.39813048785,2017-12-01
6,2017,12,molecule4,brand4,SKU6,842.0,5643.960726628521,2017-12-01
5,2017,12,molecule3,brand3,SKU5,18206.0,61614.771981303194,2017-12-01
4,2017,12,molecule3,brand3,SKU4,14775.0,65098.087341283215,2017-12-01
3,2017,12,molecule2,brand2,SKU3,24404.0,10741.583225306746,2017-12-01
62,2017,12,molecule14,brand31,SKU79,3.0,420.2099206182537,2017-12-01
15,2017,12,molecule5,brand7,SKU15,169332.0,352228.30330518907,2017-12-01
31,2017,12,molecule6,brand14,SKU44,44969.0,108440.34758241719,2017-12-01
